title,artist,winner,year,preprocessed_lyrics,language,anger_pct,anticipation_pct,disgust_pct,fear_pct,joy_pct,negative_pct,positive_pct,sadness_pct,surprise_pct,trust_pct,negative_index
If I Ever Lose My Faith In You (Single),Sting,0,1993,"sorrow ( syrup rmx ) lyricsyea uh huh abstract art first thing put shit 2015 record shit nigga 's basement @ orbt music check shit yet ai n't make dime shit 's free swear god let get lord ... said got pain come watch drown sorrow 'm petrifi today pray n't wake tomorrow cuz got pain come watch drown sorrow 'm petrifi today pray n't wake tomorrow hope lord forgiv sin cuz 'm back medic issu might also likeal got pain come watch drown sorrow 'm petrifi today pray n't wake tomorrow blow mind rhyme paint pictur word inspir agoni tell ai n't absurd tri break flow , make mothafucka feel nigga either way cut , could realli tell differ ? would never tri somebodi consid phoni fake go take anoth nigga 's style recreat fabric exagger imagin infatu side matur n't comfort left lacer wrist , sleev stain blood drip , n't fascin fact life terrifi isol man late 've feel proceed caution cuz nigga like got use loss 've live world 's imaginari wonder realism necessari premonit cemeteri grave plot name i'ma treat like motherfuckin reserv way 've live 's confirm play game lost ; consol let young nigga preach congreg i'ma tell truth pure pew might take minut done lot sinnin never friendship , contempl suicid thought fuck daili manifest depress net problem adolesc goddamn ! gim second set scene final understand fuck realli mean world full hate desecr dream realiz could never understand demand ounc respect attest fact 'm final come moment aton tell em murder microphon stori talk minuscul mind mass , n't even readi bass motherfuck master young lyric phenom master got beat , suffoc , breath 'm look god damn reason 'm bare aliv compris bereav nigga spit cohes medic mind mothafucken heathen he ground nobodi believ wonder 'll ever lose faith process n't , motherfuck tri focu progress low self esteem easili imped mind person 's work proceed elev level one ever seen mind ai n't right never stay sober neg attitud feel like 's came world question , never given courtesi answer instead left , soul full hate , could see eye want love depriv , push side type compass would n't give fuck nigga n't rap 're young 're black see distract 're slave insid even though want think 're free pleas never believ damn yeah , uh-huh got pain come watch drown sorrow 'm petrifi today pray n't wake tomorrow yeah , uh-huh , look , yeah hope lord forgiv sin back medic everi singl issu nigga got pain watch drown sorrow petrifi today pray n't wake tomorrow lord ... 5emb",en,0.04751131221719457,0.06787330316742081,0.05203619909502263,0.09502262443438914,0.049773755656108594,0.11764705882352941,0.08823529411764706,0.07692307692307693,0.033936651583710405,0.06334841628959276,100.0
Bad Guy,Billie Eilish,1,2019,"translationshrvatskitürkçesvenskaespañolрусскийromânăportuguêspolskiitalianohebrewdeutschfrançaisفارسیnederlandsdanskchines traditionalελληνικά​bad guy lyric [ vers 1 ] white shirt red , bloodi nose sleepin ' , 're tippi toe creepin ' around like one know think 're crimin bruis knee n't say thank pleas want 'm want soul ? cynic [ choru ] 're tough guy like realli rough guy ca n't get enough guy chest alway puf guy 'm bad type make mama sad type make girlfriend mad tight might seduc dad type 'm bad guy duh [ post-choru ] 'm bad guy [ vers 2 ] like take control even know , 'll let play role 'll anim mommi like sing along wo n't sing song read lyric 'll piti men know might also like [ choru ] 're tough guy like realli rough guy ca n't get enough guy chest alway puf guy 'm bad type make mama sad type make girlfriend mad tight might seduc dad type 'm bad guy duh [ post-choru ] 'm bad guy , duh 'm good bein ' bad , bad [ bridg ] like get mad guess 'm pretti glad 're alon said 's scare ? mean , n't see see mayb 's 'caus 'm wear cologn [ outro ] 'm bad guy 'm , 'm bad guy bad guy , bad guy 'm bad345emb",en,0.07407407407407407,0.027777777777777776,0.07407407407407407,0.07407407407407407,0.023148148148148147,0.08796296296296297,0.023148148148148147,0.08796296296296297,0.013888888888888888,0.023148148148148147,94.44444444444446
Help Me (Single),Joni Mitchell,0,1974,lilith lyric [ vers 1 ] septemb dont rain dont throw back ocean tear im drown hard breath 'm knee oh lord hear 'm drown n't know mayb close eye wake flower mayb phone break silenc 'm alon [ choru ] everi singl yeah get colder come dig grave caus time dont hear call n't hear god caus 'm alon life hard [ vers 2 ] fallen angel sing dont wan na die 're like wan na save lie fallen leav gravel 'm feel suicid fuck help 'm lock cycl want touch sky 'm aliv forget problem forget lie hard breath im feel suicid im drown tear 'm help ( help ) might also like [ choru ] everi singl yeah get colder come dig grave caus time dont hear call n't hear god caus 'm alon life hard everi singl yeah get colder come dig grave caus time dont hear call n't hear god caus 'm alon life hardemb,en,0.01875,0.05,0.025,0.08125,0.0375,0.1,0.05,0.08125,0.0125,0.04375,91.07142857142858
Not Ready To Make Nice,Dixie Chicks,1,2006,"readi make nice lyric [ vers 1 ] forgiv , sound good forget , 'm sure could say time heal everyth 'm still wait [ vers 2 ] 'm doubt 's nothin ' left figur 've paid price 'll keep payin' [ choru ] 'm readi make nice 'm readi back 'm still mad hell n't time go 'round 'round 'round 's late make right probabl would n't could 'caus 'm mad hell , ca n't bring think [ vers 3 ] know 've said '' ca n't get ? '' turn whole world around kinda like might also like [ bridg ] made bed sleep like babi regret n't mind sayin' 's sad , sad stori mother teach daughter ought hate perfect stranger world word said send somebodi edg 'd write letter , sayin ' better shut sing life [ choru ] 'm readi make nice 'm readi back 'm still mad hell n't time go 'round 'round 'round 's late make right probabl would n't could 'caus 'm mad hell , ca n't bring think 'm readi make nice 'm readi back 'm still mad hell n't time go 'round 'round 'round 's late make right probabl would n't could 'caus 'm mad hell , ca n't bring think think [ outro ] forgiv , sound good forget , 'm sure could say time heal everyth 'm still wait [ produc rick rubin ] 7emb",en,0.05485232067510549,0.05485232067510549,0.05485232067510549,0.06329113924050633,0.0379746835443038,0.10126582278481013,0.04219409282700422,0.08438818565400844,0.012658227848101266,0.04219409282700422,86.89572031344184
Witchcraft (Single),Frank Sinatra,0,1958,"sweetest maleficia lyric [ gill de rai : ] conjur barron , satan , beelzebub father , son , holi spirit virgin mari saint appear , person may speak us fulfil desir come bid grant whatev want , howev vile contain life would rise triumphant done plume craven wing traffick sycoph share cup amidst graver thing alchemist sorcer stitch head stench pitch myrrh devout fade pagan remain candl burnt low still noth came bear golden secret cold malevol race might also likeh would demon would vice save soul sacrific despit rais singl hair everyth stank witchcraft stain chapel statu lawn caprineum lake still lit crypt slit dawn slide tower , smelt fake need answer advic intend devis lengthi train tortur fool thought seanc would suffic sight , fur dragonfli signatur satan wall sweetest maleficia alchemist sorcer stitch head stench pitch myrrh planchett blanchet , ghost priest return spider poison feast italian astrolog prelati , spin sin fingertip scent tear seraphim cheek part glamour hammer cadaver glib command voic frozen peak would demon would gold control gill ' soul sold mistleto glisten snow kiss shadow abandon savior [ gill : ] shall conjur thee demon netherworld air sick trepid despair desper fix coven blood rich tapestri fragrant wine shitti mead new world open claret flood time right , wretch night etch circl clear ... labyrinth razor led blind man star prelati brought dark 's name barron , eye like catastroph tar imbib fire fed shred infant altar full scar entangl dream mirror full steam scarc could see joan 's face reflect last attempt grasp god lay blacken holi fog devil pursu gill wrap velvet spell hell seduct assassin day caesar gone barron , spit acid , magic guid lit demon pyre die ember writh sweetest maleficia sweetest maleficiaemb",en,0.04713804713804714,0.050505050505050504,0.06060606060606061,0.08080808080808081,0.037037037037037035,0.09764309764309764,0.06734006734006734,0.06397306397306397,0.016835016835016835,0.04713804713804714,85.6950456950457
Girls Just Want To Have Fun (Single),Cyndi Lauper,0,1984,"hey ( girl wan na fun ) lyricshey , hey 's matter ? girl wan na fun come hey , hey 's matter ? girl wan na fun come hey , hey 's matter ? girl wan na fun come come home morn light mother say , gon na live life right oh mother dear , 're fortun one girl , want fun oh girl want fun hey , hey 's matter ? girl wan na fun come might also liketh phone ring middl night father yell , gon na life oh daddi dear , know 're still number one girl want fun oh girl , want 's realli want fun work day done know girl , want fun hey , hey 's matter ? girl wan na fun come hey , hey 's matter ? girl wan na fun come singl mint , doubl mint , tripl mint gum 're three girl wan na fun parti us , 're gon na got ta roll like us , tripl imag style ai n't noth gon na stop us get way 're gon na top end day 'caus got look got groov tripl imag gon na make move boy take beauti girl hide away rest world want one walk sun hey , hey 's matter ? girl wan na fun come work day done know girl , want fun come , come hey , hey 's matter ? girl wan na fun come hey , hey 's matter ? girl wan na fun come boy , wan na fun girl , wan na fun boy , wan na fun girl , wan na fun boy , wan na fun girl , wan na fun boy , wan na fun girl , wan na hey , hey 's matter ? girl wan na fun come onemb",en,0.003289473684210526,0.09868421052631579,0.01644736842105263,0.07236842105263158,0.09210526315789473,0.09210526315789473,0.10526315789473684,0.07236842105263158,0.006578947368421052,0.01644736842105263,80.84586466165413
People (Single),Barbra Streisand,0,1964,"peopl peopl [ singl version ] lyric [ choru : dave gahan & martin l. gore ] peopl peopl , get along aw ? peopl peopl , get along aw ? [ vers 1 : dave gahan ] 're differ colour 're differ creed differ peopl differ need 's obviou hate , though 've done noth wrong 've never even met , could done ? [ pre-choru : martin l. gore ] ca n't understand make man hate anoth man help understand [ choru : dave gahan & martin l. gore ] peopl peopl , get along aw ? peopl peopl , get along aw ? [ post-choru : martin l. gore ] ( help understand ) ( help understand , help understand ) might also like [ vers 2 : dave gahan ] 're punch 're kick 're shout 'm reli common decenc far n't surfac , 'm sure exist take travel head fist [ pre-choru : martin l. gore ] ca n't understand make man hate anoth man help understand [ choru : dave gahan & martin l. gore ] peopl peopl , get along aw ? peopl peopl , get along aw ? [ refrain : martin l. gore ] ca n't understand make man hate anoth man help understand [ refrain : martin l. gore ] ca n't understand make man hate anoth man help understand [ refrain : martin l. gore ] ca n't understand make man hate anoth man help understand [ refrain : martin l. gore , ( dave gahan ) ] ca n't understand make man ( ? ) hate anoth man help understand ( peopl peopl ) [ refrain : martin l. gore , ( dave gahan ) ] ca n't understand make man ( ? ) hate anoth man help understand ( peopl peopl ) [ refrain : martin l. gore , ( dave gahan ) ] ca n't understand make man ( ? ) hate anoth man help understand ( peopl peopl ) emb",en,0.07164179104477612,0.0,0.0626865671641791,0.06567164179104477,0.0,0.07164179104477612,0.0,0.06567164179104477,0.005970149253731343,0.0,76.84434968017058
Stronger (What Doesn't Kill You),Kelly Clarkson,0,2012,"translationsελληνικάstrong ( ’ kill ) lyric [ vers 1 ] know bed feel warmer sleepin ' alon ( sleepin ' alon ) know dream color thing want ( thing want ) [ pre-choru ] think got best think 've last laugh bet think everyth good gone think left broken think 'll come run back babi , n't know , 'caus 're dead wrong [ choru ] n't kill make stronger stand littl taller n't mean 'm lone 'm alon n't kill make fighter footstep even lighter n't mean 'm 'caus 're gone n't kill make stronger , stronger , , n't kill make stronger stand littl taller n't mean 'm lone 'm alon might also like [ vers 2 ] heard start someon new told move [ pre-choru ] n't think 'd come back 'd come back swing tri break , see [ choru ] n't kill make stronger stand littl taller n't mean 'm lone 'm alon n't kill make fighter footstep even lighter n't mean 'm 'caus 're gone n't kill make stronger , stronger , , n't kill make stronger stand littl taller n't mean 'm lone 'm alon [ bridg ] thank , got new thing start thank , 'm broken-heart thank 'm final thinkin ' 'bout know end , day left begin end [ choru ] n't kill make stronger stand littl taller n't mean 'm lone 'm alon n't kill make fighter footstep even lighter n't mean 'm 'caus 're gone n't kill make stronger , stronger , , n't kill make stronger stand littl taller n't mean 'm lone 'm alon ( n't kill ) n't kill make stronger , stronger , , ( n't kill ) n't kill make stronger ( stronger ) stand littl taller ( taller ) n't mean 'm lone 'm alon ( n't kill ) [ outro ] 'm alone20emb",en,0.003205128205128205,0.009615384615384616,0.0,0.060897435897435896,0.00641025641025641,0.0641025641025641,0.00641025641025641,0.08333333333333333,0.009615384615384616,0.003205128205128205,76.28205128205128
Paper Planes,M.I.A,0,2008,"paper plane lyric [ vers 1 ] fli like paper , get high like plane catch border got visa name come around , make 'em day get one done second wait fli like paper , get high like plane catch border got visa name come around , make 'em day get one done second wait [ vers 2 ] sometim think sittin ' train everi stop get 'm clock game everyon 's winner , 're make fame bona fide hustler make name sometim think sittin ' train everi stop get 'm clock game everyon 's winner , 're make fame bona fide hustler make name [ choru ] wan na is— , a— take money wan na is— , a— take money wan na is— , a— take money wan na is— , a— take money might also like [ vers 3 ] pirat skull bone stick stone weed bong run hit 'em lethal poison system pirat skull bone stick stone weed bong run hit 'em lethal poison system one corner swagger like us hit burner prepaid wireless pack deliv like up truck alreadi go hard , pump ga one corner swagger like us hit burner prepaid wireless pack deliv like up truck alreadi go hard , pump ga [ choru ] wan na is— , a— take money wan na is— , a— take money wan na is— , a— take money wan na is— , a— take money [ bridg ] m.i.a , third world democraci yeah , 've got record kgb , uh , funni busi ( readi ? ) murder let go murder let go [ choru ] wan na is— , a— take money wan na is— , a— take money wan na is— , a— take money wan na is— , a— take money167emb",en,0.07666666666666666,0.06333333333333334,0.02,0.06,0.043333333333333335,0.09333333333333334,0.056666666666666664,0.06,0.06333333333333334,0.05,69.2952380952381
The Cave,Mumford & Sons,0,2011,"cave lyric [ vers 1 ] 's empti valley heart sun , rise slowli walk away fear fault 've left behind harvest left food eat cannib , meat-eat , see seen know shame defeat [ choru ] hold hope wo n't let choke noos around neck 'll find strength pain chang way 'll know name 's call [ vers 2 ] 'caus thing fill time take 'll take mine let truth refresh broken mind tie post block ear see widow orphan tear know call despit fault despit grow fear might also like [ choru ] hold hope wo n't let choke noos around neck 'll find strength pain chang way 'll know name 's call [ vers 3 ] come cave walk hand see world hang upsid understand depend know maker 's land [ choru 2 ] make siren 's call sing want hear say 'caus need freedom need know live life 's meant [ chorus/outro ] hold hope wo n't let choke noos around neck 'll find strength pain chang way 'll know name 's call again29emb",en,0.033707865168539325,0.05056179775280899,0.0056179775280898875,0.05056179775280899,0.05056179775280899,0.08426966292134831,0.08426966292134831,0.07303370786516854,0.02247191011235955,0.07865168539325842,68.76404494382022
