title,artist,winner,year,lyrics
Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,1,1958,"Nel blu dipinto di blu (Volare) Lyrics[Testo di ""Nel blu dipinto di blu (Volare)""]

[Strofa 1]
Penso che un sogno così non ritorni mai più
Mi dipingevo le mani e la faccia di blu
Poi d'improvviso venivo dal vento rapito
E incominciavo a volare nel cielo infinito

[Ritornello]
Volare, oh oh
Cantare, oh oh oh oh
Nel blu dipinto di blu
Felice di stare lassù

[Strofa 2]
E volavo, volavo felice
Più in alto del sole ed ancora più su
Mentre il mondo pian piano spariva, lontano laggiù
Una musica dolce suonava soltanto per me

[Ritornello]
Volare, oh oh
Cantare, oh oh oh oh
Nel blu dipinto di blu
Felice di stare lassù
You might also like[Strofa 3]
Ma tutti i sogni nell'alba svaniscon perché
Quando tramonta la luna li porta con sé
Ma io continuo a sognare negli occhi tuoi belli
Che sono blu come un cielo trapunto di stelle

[Ritornello]
Volare, oh oh
Cantare, oh oh oh oh
Nel blu degli occhi tuoi blu
Felice di stare quaggiù

[Strofa 4]
E continuo a volare felice
Più in alto del sole ed ancora più su
Mentre il mondo pian piano scompare negli occhi tuoi blu
La tua voce è una musica dolce che suona per me

[Ritornello]
Volare, oh oh
Cantare, oh oh oh oh
Nel blu degli occhi tuoi blu
Felice di stare quaggiù
Nel blu degli occhi tuoi blu
Felice di stare quaggiù con te1Embed"
Catch A Falling Star,Perry Como,0,1958,"Catch a Falling Star Lyrics[Chorus]
Catch a falling star and put it in your pocket
Never let it fade away
Catch a falling star and put it in your pocket
Save it for a rainy day

[Verse 1]
For love may come and tap you on the shoulder some starless night
Just in case you feel you want to hold her
You'll have a pocketful of starlight

[Chorus]
Catch a falling star and put it in your pocket
Never let it fade away
Catch a falling star and put it in your pocket
Save it for a rainy day

[Verse 1]
For love may come and tap you on the shoulder some starless night
Just in case you feel you want to hold her
You'll have a pocketful of starlight
(Pocketful of starlight, hm, hm, hm, hm, hm, hm)

[Chorus]
Catch a falling star and put it in your pocket
Never let it fade away
Catch a falling star and put it in your pocket
Save it for a rainy day
You might also like[Hook]
(Save it for a rainy, save it for a rainy, rainy, rainy, day)

[Bridge]
For when your troubles start multiplying and they just might
It's easy to forget them without trying
With just a pocketful of starlight

[Chorus]
Catch a falling star and put it in your pocket
Never let it fade away
Catch a falling star and put it in your pocket
Save it for a rainy dayEmbed"
Witchcraft (Single),Frank Sinatra,0,1958,"Sweetest Maleficia Lyrics[Gilles de Rais:]
I conjure you
Barron, Satan, Beelzebub
By the Father, the Son, and the Holy Spirit
By the Virgin Mary and all the saints
To appear, in person
So that you may speak to us
And fulfill our desires

Come at my bidding
And I will grant you
Whatever you want, however vile
And the containing of my life

He would rise triumphant
All done up
On a plume of craven wings
Trafficking with sycophants
Sharing his cup
Amidst other graver things

Alchemists and sorcerers stitched his head
With the stench of pitch and myrrh

The devout faded out but the pagan remained
The candles burnt low and still nothing came
Bearing golden secrets from a cold malevolent race
You might also likeHe would have his demon
He would have his vice
All save his soul was up for sacrifice
Despite their raising not a single hair
Everything stank of witchcraft there

From the stained chapel to the statued lawn
In Caprineum on the lake
To the still lit crypts and the slit of dawn
