title,artist,winner,year
Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,1,1958
Catch A Falling Star,Perry Como,0,1958
Witchcraft (Single),Frank Sinatra,0,1958
The Chipmunk Song,David Seville And The Chipmunks,0,1958
Fever (Single),Peggy Lee,0,1958
Mack The Knife,Bobby Darin,1,1959
The Three Bells,The Browns,0,1959
Like Young (Single),Andre Previn,0,1959
High Hopes (Single),Frank Sinatra,0,1959
A Fool Such As I (Single),Elvis Presley,0,1959
The Theme From A Summer Place,Percy Faith & His Orchestra,1,1960
Nice 'N Easy (Single),Frank Sinatra,0,1960
Mack The Knife (Single),Ella Fitzgerald,0,1960
Georgia On My Mind (Single),Ray Charles,0,1960
Are You Lonesome Tonight? (Single),Elvis Presley,0,1960
Moon River,Henry Mancini,1,1961
Up A Lazy River,Si Zentner,0,1961
The Second Time Around (Single),Frank Sinatra,0,1961
Take Five,Dave Brubeck,0,1961
Big Bad John (Single),Jimmy Dean,0,1961
I Left My Heart In San Francisco,Tony Bennett,1,1962
What Kind Of Fool Am I (Single),Sammy Davis Jr.,0,1962
Ramblin' Rose (Single),"Nat ""King"" Cole",0,1962
I Can't Stop Loving You (Single),Ray Charles,0,1962
Fly Me To The Moon Bossa Nova (Single),Joe Harnell And His Orchestra,0,1962
Desafinado (Single),Stan Getz And Charlie Byrd,0,1962
Days Of Wine And Roses,Henry Mancini,1,1963
Wives And Lovers (Single),Jack Jones,0,1963
I Wanna Be Around (Single),Tony Bennett,0,1963
Happy Days Are Here Again (Single),Barbra Streisand,0,1963
Dominique (Single),Soeur Sourire,0,1963
The Girl From Ipanema,Stan Getz & Astrud Gilberto,1,1964
People (Single),Barbra Streisand,0,1964
I Want To Hold Your Hand,The Beatles,0,1964
"Hello, Dolly! (Single)",Louis Armstrong,0,1964
Downtown (Single),Petula Clark,0,1964
A Taste Of Honey,Herb Alpert And The Tijuana Brass,1,1965
Yesterday (Single),The Beatles,0,1965
